,Model,AILAStatutes,AfriSentiClassification,AlloProfClusteringS2S.v2,AlloprofReranking,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,ArmenianParaphrasePC,BUCC.v2,BelebeleRetrieval,BibleNLPBitextMining,BigPatentClustering.v2,BiorxivClusteringP2P.v2,BornholmBitextMining,BrazilianToxicTweetsClassification,BulgarianStoreReviewSentimentClassfication,CEDRClassification,CLSClusteringP2P.v2,CSFDSKMovieReviewSentimentClassification,CTKFactsNLI,CataloniaTweetClassification,Core17InstructionRetrieval,CovidRetrieval,CyrillicTurkicLangClassification,CzechProductReviewSentimentClassification,DBpediaClassification,DalajClassification,DiaBlaBitextMining,EstonianValenceClassification,FaroeseSTS,FilipinoShopeeReviewsClassification,FinParaSTS,FinancialPhrasebankClassification,FloresBitextMining,GermanSTSBenchmark,GreekLegalCodeClassification,GujaratiNewsClassification,HALClusteringS2S.v2,HagridRetrieval,IN22GenBitextMining,IndicCrosslingualSTS,IndicGenBenchFloresBitextMining,IndicLangClassification,IndonesianIdClickbaitClassification,IsiZuluNewsClassification,ItaCaseholdClassification,JSICK,KorHateSpeechMLClassification,KorSarcasmClassification,KurdishSentimentClassification,LEMBPasskeyRetrieval,LegalBenchCorporateLobbying,MIRACLRetrievalHardNegatives,MLQARetrieval,MacedonianTweetSentimentClassification,MalteseNewsClassification,MasakhaNEWSClassification,MasakhaNEWSClusteringS2S,MassiveIntentClassification,MedrxivClusteringP2P.v2,MultiEURLEXMultilabelClassification,MultiHateClassification,NTREXBitextMining,NepaliNewsClassification,News21InstructionRetrieval,NollySentiBitextMining,NordicLangClassification,NorwegianCourtsBitextMining,NusaParagraphEmotionClassification,NusaTranslationBitextMining,NusaX-senti,NusaXBitextMining,OdiaNewsClassification,OpusparcusPC,PAC,PawsXPairClassification,PlscClusteringP2P.v2,PoemSentimentClassification,PolEmo2.0-OUT,PpcPC,PunjabiNewsClassification,RTE3,Robust04InstructionRetrieval,RomaniBibleClustering,RuBQReranking,SCIDOCS,SIB200ClusteringS2S,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,ScalaClassification,SemRel24STS,SentimentAnalysisHindi,SinhalaNewsClassification,SiswatiNewsClassification,SlovakMovieReviewSentimentClassification,SpartQA,SprintDuplicateQuestions,StackExchangeClustering.v2,StackOverflowQA,StatcanDialogueDatasetRetrieval,SwahiliNewsClassification,SwednClusteringP2P,SwissJudgementClassification,T2Reranking,TERRa,TRECCOVID,Tatoeba,TempReasonL1,ToxicConversationsClassification,TswanaNewsClassification,TweetTopicSingleClassification,TwitterHjerneRetrieval,TwitterURLCorpus,VoyageMMarcoReranking,WebLINXCandidatesReranking,WikiCitiesClustering,WikiClusteringP2P.v2,WikipediaRerankingMultilingual,WikipediaRetrievalMultilingual,WinoGrande,XNLI,indonli
0,KaLM-Embedding-Gemma3-12B-2511,56.263,56.877875,58.342000000000006,81.5364,90.9922,63.972899999999996,64.0299,70.307,97.0305,98.897775,88.8679414893617,31.864295350241544,42.2971,49.7255,71.8767,31.5723,79.3407,52.4389,53.999900000000004,64.5605,89.73880000000001,75.23474999999999,8.3511,82.391,99.0479,70.8105,98.9209,62.12839999999999,87.8022,64.5599,86.7355,51.5918,29.92645,94.0989,84.24460393364241,88.5031,62.89549999999999,92.3293,31.6376,98.896,89.81080988142293,63.43688333333334,97.56246896551724,99.1084,61.3259,39.1755,85.0226,84.9183,30.751099999999997,64.7852,89.5471,100.0,94.694,66.07966666666667,82.01993877551021,73.5382,44.7801,87.2703,63.738150000000005,80.03309803921567,44.1156,5.614521739130435,83.74181818181819,94.56119885177453,98.16890000000001,3.2615,79.522625,93.84,93.5673,73.34129,85.46102727272728,80.5875,88.08017272727272,96.8887,96.95594999999999,86.98519999999999,63.341742857142854,75.4165,77.89835000000001,79.75710000000001,95.5388,83.8854,91.20552500000001,4.8629,45.887,77.2733,24.006,47.18933654822335,82.4593,80.9175,89.8287,85.9142,90.1293,87.31291818181819,70.25223333333334,84.4915,88.9996,79.40939999999999,86.25855,71.05351666666667,79.5318,85.4736,58.12500000000001,95.2051,84.83000000000001,96.8338,74.256,95.598,54.07875,66.958,51.69735,58.679766666666666,66.2488,61.56,84.572,85.60969910714286,7.170999999999999,89.9951,53.1417,77.34790000000001,90.399,87.2952,71.358,16.804083333333335,93.1043,32.95307142857143,90.41511875,91.8124375,89.889,85.92233571428572,66.59270000000001
1,llama-embed-nemotron-8b,54.027,49.38890833333333,57.1449,81.2854,83.9398125,62.8395,63.891600000000004,75.667,96.8157,98.975225,86.04118617021277,21.487974094202897,36.6706,47.0971,65.4767,29.0088,79.67030000000001,53.2465,44.2842,55.429700000000004,87.3466,53.13345,14.6083,79.53099999999999,92.5244,68.07130000000001,97.6367,52.770300000000006,88.6544,62.909499999999994,83.9302,50.937450000000005,26.558349999999997,94.4037,80.21025148749156,88.996,51.276849999999996,89.7041,31.8365,98.97,87.7533513833992,58.175808333333336,96.5494474137931,95.54209999999999,75.5997,38.257999999999996,73.2127,83.79910000000001,22.9701,63.8818,84.5395,84.5,96.153,73.04805555555556,83.88199999999999,68.6831,39.2817,86.2284375,60.87263125,76.35048333333333,42.0133,4.771999999999999,80.31727272727272,91.04944963465553,97.52929999999999,6.758100000000001,80.8328,84.24669999999999,93.78649999999999,55.91682,87.78733636363637,77.61874999999999,88.24052727272726,86.88940000000001,96.62145,74.7089,61.66254285714287,75.1806,67.0238,80.0607,95.23819999999999,83.949,89.9653,11.1077,43.2601,80.4948,28.166999999999998,50.66993857868021,85.3703,83.3584,91.9601,87.8389,91.8253,89.9556909090909,71.54202222222223,86.13969999999999,90.5535,80.3377,65.86425,70.27585833333333,78.4034,82.4805,58.25,89.9316,15.86,96.0704,76.4217,96.586,41.6695,64.4092,54.233850000000004,60.96906666666667,68.291,67.2103,88.19,81.54804821428571,8.053,86.9678,50.184799999999996,78.4229,81.387,87.6654,71.2537,13.6632,90.4193,32.81765714285714,91.68155,93.0133125,51.751000000000005,83.40289285714285,61.658699999999996
2,Qwen3-Embedding-8B,85.086,52.715625,59.650800000000004,84.8795,92.5999,64.8951,65.4822,76.852,96.7634,98.876025,88.81362234042552,27.2096068236715,38.9175,51.3103,76.3267,22.0215,78.2418,53.04990000000001,75.7166,62.431599999999996,87.85260000000001,55.63435,12.604299999999999,87.653,96.1523,69.87790000000001,99.2578,51.63290000000001,86.67479999999999,59.9267,87.2092,50.5249,33.768600000000006,95.14580000000001,77.30248968897904,89.8077,56.484350000000006,91.3126,32.2805,98.91499999999999,81.95555177865612,61.612808333333334,94.33079568965516,95.0796,65.0666,25.491999999999997,66.0633,89.38279999999999,20.7953,62.0898,85.3045,84.75,95.203,70.57716666666667,83.5470612244898,74.6444,42.6513,86.03329375,61.252212500000006,79.1378725490196,46.0863,4.759391304347826,79.66090909090909,89.51777813152401,97.34859999999999,9.0212,66.634925,91.9933,92.9825,65.37666,92.22092727272727,80.92916666666667,87.90102727272728,94.902,96.26049166666667,65.3663,74.59367857142858,75.1159,75.21610000000001,78.8057,94.7037,85.1592,91.226425,8.5669,45.143699999999995,73.4738,32.742,46.601124873096445,88.5986,86.1378,94.22160000000001,90.4208,93.729,92.123,72.58547222222221,85.4981,93.6023,74.07939999999999,57.427974999999996,64.42776666666667,80.0149,79.06739999999999,56.625,94.4092,15.715000000000002,95.9506,79.4072,94.75099999999999,40.460499999999996,67.5342,60.087349999999994,67.2724,68.2946,71.3318,94.991,79.6487017857143,1.346,91.6455,40.6571,81.6125,78.199,86.9624,65.082,11.785666666666666,88.0651,32.338300000000004,90.279425,91.9601875,54.225,88.67573214285714,66.1053
3,gemini-embedding-001,48.77,53.56471666666667,56.3589,81.7737,88.19948749999999,64.9199,63.843,86.442,96.8924,98.993025,90.73199468085107,20.715552053140097,38.061299999999996,53.8637,51.6864,28.0225,78.1319,57.423,42.6782,49.375,87.58675,54.509575,7.690900000000001,79.134,95.2979,68.1592,94.7559,50.473,87.2278,53.5208,86.1155,48.452149999999996,28.603449999999995,88.6352,83.70786488215975,88.09325,43.75735,92.04860000000001,32.0018,99.30600000000001,93.74706205533597,62.874783333333326,96.7745974137931,87.6885,67.001,40.5319,73.3032,84.9949,17.6878,60.5078,86.3865,38.5,95.98400000000001,70.41794444444443,84.15779591836734,71.8349,37.3835,83.545275,57.448156250000004,81.92474215686275,47.1595,5.281217391304348,72.47181818181818,93.64031090814197,98.1396,10.255799999999999,68.7072,85.9667,93.4211,56.375789999999995,77.51845454545455,80.3125,82.52310909090909,91.8368,96.61754166666667,71.6768,59.98711428571429,74.3128,59.6612,77.5304,95.5008,82.6115,89.54950000000001,-2.4086,43.217299999999994,73.83840000000001,25.153,41.742670558375636,82.74770000000001,81.5489,89.887,85.4098,90.4404,88.57540909090909,71.69129444444444,85.4982,89.0753,81.74900000000001,51.848150000000004,73.13653333333333,76.0577,82.28999999999999,62.375,90.3467,10.297,96.8976,92.0656,96.71300000000001,51.11399999999999,66.0498,45.836200000000005,57.86343333333333,67.9547,63.924400000000006,86.315,81.97292857142857,2.956,88.7451,53.3676,71.1105,98.021,87.0488,66.7285,10.965066666666667,91.6292,28.22919285714286,92.2392375,94.2049375,60.51800000000001,85.2577892857143,60.6863
4,Qwen3-Embedding-4B,81.194,50.88950833333333,59.509299999999996,85.1337,92.548375,64.8172,65.1593,75.64,96.3151,98.8894,81.16209840425532,25.8675768115942,43.242000000000004,50.9374,71.26,20.6494,74.9451,51.0096,73.1577,58.686499999999995,86.1761,52.62285,13.5289,87.373,95.04390000000001,68.2617,99.2578,50.6644,87.1122,59.57209999999999,85.84960000000001,47.7612,33.98695,93.8869,74.11791763739978,90.0137,51.89695,91.9803,30.5499,98.76599999999999,82.03192272727271,60.82089166666667,93.67417413793103,95.05130000000001,64.2929,23.2181,66.6516,88.8302,14.9337,61.132799999999996,81.9024,84.25,95.417,69.49377777777778,81.92095918367347,75.46969999999999,42.1463,84.326775,56.16185625,76.49383921568626,45.3245,5.122086956521739,77.45181818181818,87.76807990605427,97.2754,8.7106,63.57762499999999,90.8333,93.1287,60.426770000000005,91.11591818181817,79.66250000000001,86.92281818181819,93.77879999999999,95.74801666666666,69.6583,68.90820714285715,75.1397,72.2468,77.1053,95.2606,81.9108,90.79275,12.4404,44.2845,72.2786,31.444,41.26089441624365,88.0603,86.6139,94.3863,90.9367,93.76729999999999,91.78071818181817,72.95217777777778,86.10275,93.6965,72.7514,51.304925000000004,63.166875,76.3686,75.5371,57.25,93.3447,20.150000000000002,96.09440000000001,77.5663,94.32300000000001,42.28125,67.168,62.13095,62.61546666666668,67.2706,66.6255,92.92399999999999,76.25911696428572,1.226,91.4355,36.4271,81.707,72.577,87.1542,65.6114,11.295683333333335,93.575,31.576564285714287,88.88541875,91.2278125,51.510999999999996,87.16251071428572,65.345
5,Qwen3-Embedding-0.6B,79.018,46.0476,53.9575,80.3828,90.422325,63.7187,63.8185,70.965,93.14240000000001,98.4417,68.73828457446808,21.17162693236715,32.4887,47.265499999999996,54.216699999999996,22.6221,73.4066,49.8831,62.012699999999995,44.082,79.17020000000001,49.137724999999996,8.9328,84.761,90.2002,63.754900000000006,98.8428,49.955,80.8666,41.112500000000004,74.3312,40.8447,26.321749999999998,90.5786,62.75455782140443,84.90105,39.694799999999994,85.8422,28.9713,98.758,75.77553023715416,38.97911666666667,90.42270689655172,93.09190000000001,64.7674,25.558500000000002,61.6742,86.6246,9.676,55.8984,80.0654,84.75,94.517,61.22650000000001,72.78776530612244,61.0272,36.108000000000004,80.4988125,53.2390125,61.43749509803922,42.1841,4.647391304347826,64.3,79.45833089770356,95.5762,3.6047999999999996,61.333099999999995,84.3233,92.6901,47.75818,85.39324545454545,71.31041666666667,78.38504545454546,84.1874,92.94449166666666,69.5251,62.191857142857145,74.2182,73.3031,71.5182,90.50049999999999,83.50319999999999,88.95385,2.7448,40.2853,65.6728,24.407,34.12669695431472,84.8283,82.9953,91.75529999999999,87.1015,91.4472,85.50388181818181,71.83335555555556,84.61959999999999,91.1297,76.9487,50.512725,59.37311666666667,74.2522,59.589800000000004,57.99999999999999,86.3428,10.585,94.1094,71.1618,89.994,33.633,58.3545,53.35785,55.55926666666667,67.1523,60.680299999999995,90.518,58.052986607142856,1.022,82.1289,34.8871,80.7501,60.040000000000006,86.7482,57.6603,11.6022,86.7578,29.658971428571423,85.98550625,87.133875,50.792,81.715725,58.987199999999994
6,gte-Qwen2-7B-instruct,33.765,44.384189781569646,57.506448147453916,81.09504605331439,86.15203983213753,68.1929207141039,64.84694347666395,54.565,92.65075872104956,98.71091057231139,77.5392420212766,13.587231117392607,28.794499218673657,53.24389713638713,50.16380952380952,25.7861328125,72.91208791208791,52.78427205100956,48.41927222751096,37.87109375,87.79832630142748,52.33751308189349,6.7798,81.041,38.4033203125,55.00000000000001,95.4638671875,53.524774774774784,85.14633147722918,42.6161369193154,72.47030523460988,38.61816406250001,25.7195529264813,75.37985865724382,70.39316876155357,84.75471109539576,22.67333984375,87.95902883156297,31.455219894528103,99.045,77.82830353570837,41.814246601955254,90.591099064847,19.078506147675718,61.1236448842879,26.462765957446805,71.5837104072398,73.20416551353325,8.42906234658812,59.7265625,68.04730749874183,38.5,95.21,51.58155555555556,78.69177551020408,61.8700614574188,35.690030474531994,79.39616789673823,49.9086966181755,70.3681605851253,49.03002986636611,4.686347826086957,72.26,84.02911422398944,96.455078125,4.1129,55.84828382999115,73.22999999999999,93.42105263157895,43.398958400193635,87.27608050534666,69.91041666666668,80.50597402597401,80.23839743091854,95.99717595594743,66.31914277439907,75.23734722353676,73.34101190608784,55.547619047619044,54.49392712550607,94.02375455132707,74.77707006369427,90.78864343023099,3.9255999999999998,42.05841107965322,74.13167186005539,23.48,37.73466578510028,79.15962683643262,79.52565322917206,88.96943154592363,83.86537189895273,88.48375378824065,85.87071943485364,69.3392330957762,82.46545065922575,86.81105691398511,78.30337680474653,55.6787109375,62.94644141747185,62.340534060461586,66.8994140625,59.5,82.3876953125,18.777,93.1413954543224,80.26367734971261,84.345,37.8685,63.53027343749999,51.2087241288512,56.59687211360838,67.80494012637375,67.60965595822725,80.374,73.51357497714069,2.177,85.7373046875,33.44969199178645,73.05375073833432,68.635,86.60659275450581,70.06085195437916,12.501342884346275,77.58436521981416,30.77499816043735,87.72810185185185,88.971875,66.808,85.70667251967983,66.83386443102921
7,Linq-Embed-Mistral,39.228,44.996433333333336,56.391400000000004,79.8192,83.00365,63.3776,62.165000000000006,69.649,92.4926,98.94529999999999,70.57427659574469,15.659647101449275,24.8052,45.8864,55.5822,22.3975,80.4396,51.5356004250797,43.3447,45.1416,81.44725,52.713875,4.6739999999999995,74.663,67.4756,63.2471,95.83500000000001,50.720699999999994,86.664,43.8631,80.03620000000001,42.32665,18.9342,86.20139999999999,60.9684093427026,86.1437,18.6084,71.44160000000001,29.022199999999998,98.896,66.17717351778656,22.255258333333337,85.75402155172414,77.151,60.575100000000006,26.9681,71.0407,84.3428,8.9985,59.3604,70.5133,37.75,95.379,55.336055555555554,70.46224489795918,53.3802,36.9569,76.75476875,51.43464375,65.08960294117647,40.9949,3.9613043478260868,72.7218181818182,78.04424290187892,94.42869999999999,1.7141,45.958475,68.8967,93.71350000000001,43.11441000000001,77.46697272727272,73.47708333333333,78.1589909090909,56.7309,94.938925,67.5094,60.507571428571424,72.79719999999999,55.87955,66.86229999999999,92.6578,54.9045,88.877125,-3.5531,40.6999,76.84186176600346,21.932,38.398987817258885,84.30523596401186,78.44413657529002,88.26850223126127,84.49441798385489,90.27866978947013,92.68185242943188,69.71411666666667,83.16335,88.80650007123052,78.561,51.119375,67.40269166666667,63.53060000000001,58.769499999999994,55.50000000000001,87.3193,8.408,96.27527798658713,72.16590000000001,91.709,46.9695,60.8203,47.21005,55.227666666666664,66.8938,60.001168974381315,87.09700000000001,71.32496696428571,4.601999999999999,71.2938,39.2197,72.23859999999999,40.841,87.51158697451964,61.235099999999996,11.280566666666667,89.9577,30.913050000000002,90.13028125,90.7656875,52.068999999999996,74.73036428571429,55.3272
8,multilingual-e5-large-instruct,29.659000000000002,45.38743185721043,56.465654820251686,74.67772958086249,68.60635595543067,62.534993503603,61.28405793014598,58.47599999999999,95.95589691755349,98.95291237745646,80.91880585106382,22.027836813106354,43.18759632840442,42.74642223360121,55.41666666666667,19.8193359375,78.62637362637362,50.00531349628054,42.40111865680486,43.02734375,82.62079764718732,51.035,1.8204591164585913,75.798,81.07421875,60.654296875,95.4638671875,50.000000000000014,87.31437587387482,49.095354523227385,80.43799892800864,40.75927734375,25.615327512474305,84.4434628975265,85.96172923065778,85.91879766484158,32.28271484375,87.51896813353565,30.071654993285048,98.678,78.88523646095447,53.68853300825269,91.11262223334275,86.26569794200802,61.32581705544956,37.340425531914896,62.941176470588246,82.55017107192334,10.21109474717722,58.19824218750001,80.87569199798692,37.75,94.25,57.71855555555556,76.16448979591837,66.70763827919227,29.029168480626904,80.54771766190464,59.233227515991594,62.714652161821604,38.09242836891137,5.502608695652174,64.74454545454546,93.67549966537496,96.9873046875,1.503794295109716,80.71080139372823,76.57000000000001,93.49415204678363,44.086054444686475,85.07410091848311,70.975,85.28844036237085,84.53064922708904,95.46305317773708,65.68491167101071,55.621797450974405,72.73714261252685,57.08333333333333,56.963562753036435,93.45047450223521,84.39490445859873,87.91727578123853,-4.522163145770205,40.86754591167735,71.6591133500063,19.238,47.19148058157196,81.73085443529001,82.52836101249812,88.05498843767127,84.82883151106293,91.02208309425296,85.96897124958758,68.95046564954582,83.09800997629712,88.39290178655834,77.07534827243025,50.36499023437499,69.17308958236403,59.554303041480324,78.0419921875,47.5,87.5048828125,13.536999999999999,92.1893142357913,59.96877429544219,85.816,33.67,59.11132812499999,47.55962245436645,55.46189493501322,67.12059871450872,63.889249361601905,82.509,83.7297358436565,1.197,66.81640625,46.36550308008214,74.87891317188422,36.855,86.73195968908499,62.48323780301285,8.709846529573541,76.22072269296974,31.450801211002776,91.0291121031746,91.59349999999999,54.272,79.48950175583943,56.17010158935305
9,embeddinggemma-300m,37.374,44.472941666666664,52.81550000000001,79.68809999999999,84.23236250000001,63.588,59.5855,71.53500000000001,92.67790000000001,98.7489,72.38063829787235,12.678407548309178,41.6445,52.0956,34.633,22.343799999999998,71.2637,52.7577,41.4545,34.492200000000004,79.33654999999999,51.22935,6.314500000000001,78.934,58.6279,58.6279,94.27250000000001,50.2815,83.92500000000001,38.2885,65.301,40.524899999999995,25.224650000000004,86.4488,55.34657320824882,84.66905,29.0308,82.78450000000001,29.339100000000002,98.919,74.404295256917,43.06836666666667,87.09158189655173,46.624700000000004,60.870999999999995,26.4229,70.36200000000001,84.3984,11.5758,58.095699999999994,59.974799999999995,60.75000000000001,95.07600000000001,66.19755555555555,78.94633673469389,45.3117,33.0823,74.9335,43.4606125,62.69916176470588,44.1053,4.342608695652174,61.00272727272728,73.86705,95.4785,11.4471,41.2551,65.56,90.7895,44.16295,66.05157272727273,69.80208333333334,67.1074909090909,57.94669999999999,93.34728333333334,67.8656,57.728178571428565,72.1375,58.857150000000004,62.7733,90.8572,82.3567,89.66832500000001,-0.9403999999999999,41.8824,71.259,18.429000000000002,26.53071421319797,81.3676,79.3211,86.4161,83.6713,89.3485,84.41624545454545,71.20166111111111,81.6367,88.16460000000001,82.3051,50.76905000000001,65.22101666666667,65.49199999999999,65.6689,56.99999999999999,73.26660000000001,10.676,97.02579999999999,90.94139999999999,86.473,46.26625,65.9521,40.037,57.73533333333334,67.5443,65.1458,80.35,51.35344732142857,0.9979999999999999,82.9346,31.149900000000002,73.0242,72.04,86.9003,60.994499999999995,10.160216666666667,92.02,27.025878571428567,89.87818750000001,89.9950625,59.402,81.72844642857143,60.9519
